Year,Slogan,Candidate,Party,Party2,Words,Words2,Words3,Words4,Win,Power,Win_Loss,Electoral_Votes,Slogan Source,Voter_Turnout,Federal_Government,FedState,Trade,FreePro,Civil_Rights,CivRig,Taxation,War_Expansion,War,Immigration,Labor rights,Party Platform / Issues,Notes
1872,Grant Us Another Term * In God is our strength,Ulysses S. Grant,Republican,1,,Establishment,,,Y,1,1,286,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1872-overview/,0.713,Strong,3,Protectionist,1,Women's rights treated with respectful consideration,2,Tax on alcohol and tobacco,Peace,1,Protect immigration,,"Women’s rights, abolish franking privilege; hard-money policy. Equal rights regardless of “race, creed, color, or previous condition of servitude.”",
1872,Anyone But Grant,Horace Greeley,Democrat,4,,Derogatory,,,,4,4,0,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1872-overview/,0.713,Stronger,2,State decision,3,equality of all men before the law,1,Federal taxation,Civil order over military rule,1,,,Universal amnesty to help heal the fissures of Civil War; local self-government; supremacy of civil order over military rule; civil service reform to stop corruption; opposition to land grants for railroads. Divided over the tariff they did not take a position,
1876,"Sound currency, An Honest Administration, Economy & Reform Will Bring Prosperity",Samuel Tilden,Democrat,4,Prosperous,Reformist,Honest,,,4,4,184,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1876-overview/,0.818,Stronger,2,Tariff reform,3,,,tsx reform,,,Restrictions,,"Advocated honest, efficient government as opposed to the Grant administration’s corruption; end “the rapacity of carpetbag tyrannies” in the South; treaty protection for naturalized U.S. citizens visiting their homelands; Oriental immigration restrictions; tariff reform; opposition to land grants to railroads; civil service reform; ending Reconstruction",
1876,"We Go for Hayes * Let us Strive for Human Rights, Let us Preserve Our Nation's Honor",Rutherford B. Hayes,Republican,1,Egalitarian,,,,Y,1,1,185,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1876-overview/,0.818,Strong,3,Protectionist,1,equal rights for women,2,tax reform,,,"federal law to protect emigrants, in the absence of power in the states.",,Denounced the Democrats; civil rights; fulfill pledges to veterans; tariffs; public land divided and distributed to homesteaders,
1880,"Harmony, Peace, Prosperity. Our Nation's Honor will be Preserved",James A. Garfield,Republican,1,Prosperous,,Peaceful,,Y,1,1,214,https://www.britannica.com/event/United-States-presidential-election-of-1880,0.794,Strong,3,Protectionist,1,Anti-polygamy,2,,,, limit and restrict that immigration,," Tariff, protectionist; strong federal power, “The Constitution of the United States is a supreme law, and not a mere contract”; civil service reform",
1880,The Soldier Statesman with a Record as stainless as his Sword,Winfield Scott Hancock,Democrat,4,Heroic,,Honest,,,4,4,155,http://library.duke.edu/rubenstein/scriptorium/americavotes/hancock-music.jpeg,0.794,Strong,3,Free Trade,4,,,necessary taxation,Subordination to civil power,1,No more Chinese immigration,Protect working man,"“Free trade” policy to lower tariffs; revenue only tariff; decentralization of the federal government; increased local government; civil service reform; end Chinese immigration; Presidential election of 1876, “the great fraud”",
1884,"Ma, Ma, where's my Pa? * Rum, Romanism and Rebellion",James G. Blaine,Republican,1,,Derogatory,,Rhyming,,1,4,182,,0.775,Strong,3,Protectionist,1,supress polygamy,2,Reduce surplus & taxes,Restoration of navy,3,sustain the present law restricting Chinese immigration,8 hour work day,"Railroad regulation; eight-hour work day; immigration, civil service reform; bureau of labor; public lands for settlers; high tariff “not for revenue only, but…to afford security to our diversified industries and protection to the rights and wages of the laborers.”",
1884,"Blaine, Blaine, James Blaine, The Continental Liar from the State of Maine * Grover the Good",Grover Cleveland,Democrat,4,,Derogatory,,Rhyming,Y,4,1,219,http://hubpages.com/education/campaign-slogans-for-all-the-us-presidents,0.775,Strong,3,Free Trade,4,,,"Reduce taxes, minimal",,,Restrictions,enactment of labor organizations,One of the Democrats longest platforms; listed Republican failures; tariff revisions; taxes based on product necessity; rights of organized labor; restrictions on Chinese immigration,
1888,Rejuvenated Republicanism * The Same Old Hat - It Fits Ben Just Right,Benjamin Harrison,Republican,1,,,,,Y,4,1,233,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1888-overview/,0.793,Stronger,2,Protectionist,1,Polygamy opposition,2,Repeal tobacco and alcohol tax,Restoration of navy,3,sustain the present law restricting Chinese immigration,,Protective tariffs; repeal tobacco taxes; bimetallism (gold and silver); veterans pensions; opposition to polygamy.,
1888,"Rights of Working-Men * Blocks of Five, Dudley * His Grandfather's Hat - It's Too big for Ben",Grover Cleveland,Democrat,4,Egalitarian,Derogatory,,,,1,4,168,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1888-overview/,0.793,Strong,3,Free Trade,4,,,"Reduce taxes, minimal",Restoration of navy,3,Restrictions,,"Defense of the Cleveland administration; tariff and taxes reduction; statehood for the western territories; sympathy for home rule in Ireland; tax reform. Tension between conservative and populists in the party; conservatives, states rights, the primary issue; populist, free coinage of silver, the primary issue.",
1892,Baby Ruth. The Prophet. The People * Our choice: Cleve and Steve,Grover Cleveland,Democrat,4,Populist,,,Rhyming,Y,4,1,277,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1892-overview/,0.747,Strong,3,Free Trade,4,,,"Minimal tax, Tax on bank issues repealed",strong national defense,3,Laws against chinese immigration,Abolishing contract convict labor,"Opposition to  prohibition; antitrust laws; federal aid to education; Mississippi River improvements; statehood for New Mexico and Arizona; opposed Chinese immigration; unrestricted  immigration from the “industrious and worthy of foreign lands”; stable money, gold and silver coinage; tariff for revenue only",
1892,Harrison and Protection * Protection-Reciprocity-Honest Money,Benjamin Harrison,Republican,1,,,Honest,,,1,4,145,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1892-overview/,0.747,Strong,3,Protectionist,1,Prohibition sympathy,2,,national defense,2,,Laws protecting workers,"Pro-tariff plank, canal in Nicaragua; bi-metallic currency; sympathy for home rule in Ireland; sympathy for prohibition; reaffirmed the Monroe doctrine, “achievement of the manifest destiny of the Republic in its broadest sense.”",
1892,Equal rights to all. Special privileges to none,James Weaver,Populist,2.5,Egalitarian,,,,,4,4,22,https://www.gilderlehrman.org/history-by-era/populism-and-agrarian-discontent/resources/people%E2%80%99s-party-campaign-poster-1892,0.747,No opinion,3,No Opinion,2.5,No Opinion,,Income tax,No Opinion,,No Opinion,Labor unions,"Restore government “to the hands of the plain people.” Direct election of Senators; income tax; antitrust legislation; railroads public ownership; currency expansion, free silver plank",
1896,"Patriotism, Protection, and Prosperity * McKinley and the Full Dinner Pail",William McKinley,Republican,1,Prosperous,,,,Y,4,1,271,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1896-overview/,0.793,Strong,3,Protectionist,1,Women's rights,2,Continued tariffs,Naval expansion,3,Immigration strictly enforced,,"Gold standard; “the existing gold standard must be preserved;” endorsed acquiring Hawaii, Danish West Indies (today’s Virgin Islands), favored a Central America canal, naval expansion, sympathy for Cuba and Armenia, illiterate immigrants exclusion, “equal pay for equal work,” “National Board of Arbitration”; high protective tariffs; denounced lynching",
1896,Free Coinage 1896: 16 to 1 - Tariff for Revenue Only * No Crown of Thorn. No Cross of Gold,William Bryan,Democrat,4,Prosperous,,,,,1,4,176,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1896-overview/,0.793,Strong,3,Free Trade,4,,,Repeal income tax,,,,,"Free silver (to the dismay of Gold Standard Cleveland Democrats), tariff reduction, graduated income tax, stricter railroad and trust regulations; condemnation of court injunctions against strikers; disapproval of the bond issues.",
1900,Four more years of the full dinner pail * Patriotism and Prosperity,William McKinley,Republican,1,Prosperous,,,,Y,1,1,292,http://politicalmemorabilia.com/item-types/buttons/,0.732,Strong,3,Protectionist,1,Condemned jim crow,1,Repeal war taxes,Defended expansion,3,more effective restriction of the immigration of cheap labor,raised child labor age,"Praised President McKinley’s record: improved business conditions, won Spanish-American War; defended postwar expansionism; established department of commerce; condemned Jim Crow, southern laws that blocked African-Americans voting; raised child labor age limit; constructed a canal in Panama.",
1900,"For freedom and justice * Opposed to imperialism, trusts, gold standard, government by injunction",William Bryan,Democrat,4,,,,,,4,4,155,http://politicalmemorabilia.com/item-types/buttons/,0.732,Strong,3,Free trade,4,,,Repeal war taxes,Condemned expansion,1,Continued chinese exclusion,Favored Department of Labor,anti-imperialism platform; denounced colonial policies; condemned post-war expansionism; included silver plank.,
1904,Let well enough alone * A square deal * Equality,Theodore Roosevelt,Republican,1,Egalitarian,Establishment,,,Y,1,1,336,http://politicalmemorabilia.com/item-types/buttons/,0.652,Strong,3,Protectionist,1,,,,Defended expansion,3,Continued chinese exclusion,,"Maintain  protective tariff, increase foreign trade, respect gold standard, expand the merchant marine, build strong navy; Praised Roosevelt’s foreign and domestic policy",
1904,"Goodbye Teddy, Goodbye * Uncle Sam's white elephant",Alton B. Parker,Democrat,4,,Derogatory,,,,4,4,140,http://politicalmemorabilia.com/item-types/buttons/,0.652,Strong,3,Trade agreements,3,Polygamy opposition,2,Equal taxation,"Condemned expansion, reduce army",1,,Aribtration,"reduce government spending; wanted congressional investigation of the executive departments; end government contracts with companies violating antitrust laws; endorsed: independence for the Philippines; eight-hour work day; construction of a Panama Canal; direct election of senators, western territories statehood; and extermination of polygamy, reciprocal trade agreements, army cuts; civil service laws enforcement",
1908,"Vote for Taft now, you can vote for Bryan anytime",William Howard Taft,Republican,1,,Derogatory,,,Y,1,1,321,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1908-overview/,0.654,Strong,3,Tariff reform,2,"Enforce 13, 14, 15 amendments",1,,strong national defense,2,strengthen the laws prohibiting the importation of contract labor,8 hour work day,"Endorsed: employer liability laws; safety appliance statutes, shorter work days; workman’s compensation for injuries; public works; eight-hour work day; equal justice, enforcement of the 13th, 14th 15th amendments of the Constitution.",
1908,Shall the People Rule?,William Bryan,Democrat,4,Populist,,,,,4,4,162,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1908-overview/,0.654,Stronger,2,Free trade,4,,,Personal and corporate income tax,"Denounced Imperialism, national security only",2,opposed to the admission of Asiatic immigrants,"Department of Labor, General employer's liability act","endorses: Progressive reforms; social justice agenda; material prosperity; charitable programs; “necessary” taxation, nationalization of the railroads,  Philippines’ independence; Denounced U.S. imperialism",
1912,Empty Market Basket,Woodrow Wilson,Democrat,4,,,,,Y,4,1,435,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1912-overview/,0.588,Stronger,2,Free trade,4,,,national income tax,"Denounced Imperialism, national security only",2,,Department of Labor,"“New Freedom” Individualism; moderate progressive measures: single six-year presidential term, direct election of Senators, national income tax, presidential primaries",
1912,"My hat is in the ring, let the people rule",Theodore Roosevelt,Progressive,2.5,Populist,,,,,4,4,88,http://politicalmemorabilia.com/item-types/buttons/,0.588,Federal ,4,"Protective tariff, Commerce expansion",2,Women's suffrage,2,Inheritance and income tax,Limited military,1,Protect and promote immigration,"Minimum wage, Prohibition of child labor, 8 hour day","“The New Nationalism” reforms federal regulation over: the economy, corporations;  overruling judicial decisions that contradicted progressive reforms;",
1912,Its nothing but fair to leave Taft in the chair * I am for playgrounds,William Howard Taft,Republican,1,,Establishment,,Rhyming,,1,4,8,http://politicalmemorabilia.com/item-types/buttons/,0.588,Stronger,3,Protectionist,1,Condemned lynchings,2,,National security,2,Enact laws to give relief from induced or undesireable immigration,enact comprehensive and generous workman's compensation laws,Increase judicial power over elected officials,
1916,"Good luck, Good times",Charles Evans Hughes,Republican,1,,,,,,4,4,254,http://politicalmemorabilia.com/item-types/buttons/,0.616,State rights in civil rights issues,2,Protectionist,1,Equal rights for women,2,,strong national defense,3,,"Federal child labor law, Department of Labor","Women’s suffrage (decision of individual states); Equal rights for women (separate plank); stronger national defense, tariff commission; natural resources conservation. Condemned the Wilson administration’s interference in Mexico.",
1916,"He proved the pen mightier than the sword * War in the East, Peace in the West",Woodrow Wilson,Democrat,4,,,Peaceful,,Y,1,1,277,,0.616,State rights in civil rights issues,2,Move towards protectionist,3,women's suffrage,2,No change,military preparedness,3,,"Federal child labor law, Department of Labor","Peace and neutrality: military preparedness; progressive reforms (tariffs, banking, labor, agriculture) women’s suffrage (voted from the floor:  minority plank wanted to leave the decision to individual states, defeated 888 _ to 181 _.)",
1920,Return to normalcy * America First * Down with Wilson!,Warren G. Harding,Republican,1,,Derogatory,Nostalgic,,Y,4,1,404,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1920-overview/,0.492,State rights in civil rights issues,2,"Protectionist, option to revise",2,"Women's suffrage, anti-lynching laws",2,Simplify income tax,"Pro-League, national security",2,Increased regulation,Denied right of workers to strike against government,"placated pro-League Republicans “the Republican party stands for agreement among nations to preserve the peace.” End to lynching; women’s suffrage amendment ratification; foreign policy, “that after a period of unexampled sacrifice, our motives are suspected, our moral influence impaired and our Government stands discredited and friendless among the nations of the world.”",
1920,Cox and Cocktails,James M. Cox,Democrat,4,,,,,,1,4,127,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1920-overview/,0.492,State rights in civil rights issues,2,"Protectiont, only with committee",3,Women's suffrage,2,"Tax reform, revise War Revenue Acts","US In League of Nations, congress approval for war",2,Endorse current restrictions,Pro-union,"Endorsed: U.S. membership in the League of Nations (“surest, if not the only, practicable means of maintaining the permanent peace of the world”); women’s suffrage; prohibition, the Volstead Act; progressive reforms, labor; government regulation of industry, transportation, conservation; natural resources and immigration. Praise for Wilson’s leadership, legislative record",
1924,Keep cool with Coolidge,Calvin Coolidge,Republican,1,Enlisting,,,,Y,1,1,382,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1924-overview/,0.489,Strong,3,"Protectionist, option to revise",2,Federal Anti-lynching,2,"Reduce tax overall, enforce sales and nuisance tax","Endorse limiting use of weapons, military preparedness",3,Endorse current restrictions,8-hour-day,Reduce taxes; participate in World Court; establish Cabinet-level departments of education and relief; aid farmers; broaden export markets; encourage commercial aviation; need for federal anti-lynching law,
1924,"Coolidge, Then Chaos * Honest days with Davis",John W. Davis,Democrat,4,Enlisting,Derogatory,Honest,,,4,4,136,"http://www.kevincmurphy.com/uatw-1924-coolidge.html, http://politicalmemorabilia.com/political-item/election-of-1924-john-w-davis-honest-days-with-davis-buttons/",0.489,Stronger,2,"Protectionist, not these laws",3,"Religious liberties, enforce prohibition",2,Relative burden of taxation,"League of Nations, Disarmament, national safety",2,Endorse current restrictions,Pro-union,"Intense battle over the platform; need national referendum to decide entry to the League of Nations; affirm importance of religious liberties; motion to condemn the (anti-Catholic, racist) Ku Klux Klan in the platform blocked.",
1924,The will of the people shall be the law of the land,Robert M. La Follette,Progressive,2.5,Populist,,,,,4,4,13,http://www.kevincmurphy.com/lafbond2.jpg,0.489,Strong,3,Reduce tariffs,3,No Opinion,,Lower taxes,"End to imperialism, disarmament",1,No Opinion,Outlaw child labor / Pro-union,"government ownership of the railroads and electric utilities, cheap credit for farmers, the outlawing of child labor, stronger laws to help labor unions, more protection of civil liberties, an end to American imperialism in Latin America, and a referendum before any president could again lead the nation into war.",https://en.wikipedia.org/wiki/Robert_M._La_Follette_Sr.#Presidential_campaigns
1928,Who but Hoover? * A chicken in every pot and a car in every garage,Herbert Hoover,Republican,1,Prosperous,,,,Y,1,1,444,,0.569,Strong,3,"Protectionist, option to revise",2,Federal Anti-lynching,2,Lower taxes,National security,2,Endorse current restrictions,Pro-union," lower taxes; protective tariff; Enforce 18th Amendment;  “observance and vigorous enforcement of the Eighteenth Amendment” Prohibition; a Federal Farm Board;  campaign finance disclosure; “home rule” self-reliance, strong local government, military spending be curtailed and soldiers' bonus paid",
1928,Vote for Al Smith and make your wet dreams come true,Al Smith,Democrat,4,,,,,,4,4,87,http://mentalfloss.com/article/29295/11-presidential-campaign-slogans-went-beyond-buzzwords,0.569,Stronger,2,"Protectionist, only with committee",3,No Opinion,,Nothing beyond sinking fund,Isolationism,1,"Keep restrictions, reform","Pro-union, exempt from anti-trust laws","agriculture, Federal Farm Board, loans to farmers, isolationism (Latin America) ;  major public works programs to resolve unemployment, Flood control projects; “fundamental changes in the present provisions for national prohibition”",
1932,"Happy Days Are Here Again * In Hoover we trusted, now we are busted",Franklin D. Roosevelt,Democrat,4,,Derogatory,Nostalgic,Rhyming,Y,4,1,472,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1932-overview/,0.526,Stronger,2,"Protectionist, facilitate international trade",3,State choice in Prohibtion,1,Graduated income tax,National security,2,No Opinion,Reform labor union law,"New Deal reform policy, reduce federal spending, balanced budget, federal unemployment relief; new public works projects; repeal of Prohibition (18th Amendment)",
